klaster,jumlah_komentar,sentimen_positif,sentimen_negatif,sentimen_netral,makna_bermakna,makna_tidak_bermakna,persentase_positif,persentase_negatif,persentase_netral,persentase_bermakna,persentase_tidak_bermakna
0,20,2,5,13,20,0,10.0,25.0,65.0,100.0,0.0
1,296,174,41,81,287,9,58.78,13.85,27.36,96.96,3.04
2,161,143,5,13,160,1,88.82,3.11,8.07,99.38,0.62
3,145,74,21,50,145,0,51.03,14.48,34.48,100.0,0.0
4,250,101,81,68,247,3,40.4,32.4,27.2,98.8,1.2
5,225,69,87,69,217,8,30.67,38.67,30.67,96.44,3.56
6,74,3,37,34,64,10,4.05,50.0,45.95,86.49,13.51
7,1328,377,448,503,1107,221,28.39,33.73,37.88,83.36,16.64
8,102,24,2,76,102,0,23.53,1.96,74.51,100.0,0.0
